Name	Fl	Inventory	Index	BirthCountry	WorkCountry	Ethnicity	Woman
Dehmel, Richard	1903	Literature	3.97	Germany	Germany	Germanic	0
Dekker, Thomas	1610	Literature	3.16	Britain	Britain	English	0
Delacroix, Eugene	1838	Art	35.91	France	France	French	0
Delaroche, Paul	1837	Art	2.01	France	France	French	0
Delaunay-Terk, Sonia	1925	Art	3.72	Russia	France	Jewish	1
Delaunay, Robert	1925	Art	8.13	France	France	French	0
Deledda, Grazia	1911	Literature	3.40	Italy	Italy	Italian	1
Delibes, Clément	1876	Music	2.39	France	France	French	0
Delius, Frederick	1902	Music	7.04	Germany	Britain	Germanic	0
Demantius, Christoph	1607	Music	1.30	Czech	Germany	Czech	0
Democritus	-420	Philosophy	13.29	Ancient Greece	Ancient Greece	Ancient Greek	0
Demosthenes	-344	Literature	10.30	Ancient Greece	Ancient Greece	Ancient Greek	0
Denis, Maurice	1910	Art	5.74	France	France	French	0
Derain, Andre	1920	Art	7.71	France	France	French	0
Derzhavin, Gavril	1783	Literature	4.25	Russia	Russia	Slavic	0
Descartes, René	1636	Philosophy	50.79	France	Netherlands	French	0
Desiderio da Settignano	1464	Art	6.09	Italy	Italy	Italian	0
Destouches, André 	1712	Music	1.15	France	France	French	0
Dickens, Charles	1852	Literature	25.94	Britain	Britain	English	0
Diderot, Denis	1753	Literature	22.04	France	France	French	0
Dietrich, Sixt	1533	Music	1.00	Germany	Germany	Germanic	0
Dilthey, Wilhelm	1873	Philosophy	3.39	Germany	Germany	Germanic	0
Dinesen, Isak	1925	Literature	2.30	Denmark	Denmark	Danish	1
Diogenes	-372	Philosophy	1.70	Ancient Greece	Ancient Greece	Ancient Greek	0
Dionysius Areopagita	50	Philosophy	2.58	Ancient Greece	Ancient Greece	Ancient Greek	0
Dionysius of Halicarnassus	-50	Literature	4.52	Ancient Greece	Ancient Greece	Ancient Greek	0
Disraeli, Benjamin	1844	Literature	4.49	Britain	Britain	English	0
Dittersdorf, Karl von	1779	Music	4.22	Austria	Austria	Germanic	0
Dix, Otto	1931	Art	3.79	Germany	Germany	Germanic	0
Döblin, Alfred	1918	Literature	5.52	Germany	Germany	Germanic	0
Doesburg, Theo van (Kupper)	1923	Art	6.10	Netherlands	Netherlands	Dutch	0
Dohnányi, Ernö	1917	Music	1.57	Slovakia	Hungary	Slavic	0
Domenichino ( Zampieri)	1621	Art	6.49	Italy	Italy	Italian	0
Domenico Veneziano	1450	Art	6.19	Italy	Italy	Italian	0
Donatello (di Betto Bardi)	1426	Art	42.13	Italy	Italy	Italian	0
Donizetti, Gaetano	1837	Music	8.93	Italy	Italy	Italian	0
Donne, John	1612	Literature	17.07	Britain	Britain	English	0
Doré, Gustave	1830	Art	2.32	Germany	France	Germanic	0
Dossi, Dosso	1530	Art	2.26	Italy	Italy	Italian	0
Dostoevsky, Fyodor	1861	Literature	40.20	Russia	Russia	Slavic	0
Dowland, John	1603	Music	5.53	Britain	Britain	English	0
Doyle, Arthur	1899	Literature	2.19	Britain	Britain	Irish	0
Drachmann, Holger	1886	Literature	3.59	Denmark	Denmark	Germanic	0
Draghi, Antonio	1674	Music	1.83	Italy	Austria	Italian	0
Droste-Hulshoff, Annette	1837	Literature	2.88	Germany	Germany	Germanic	1
Dryden, John	1671	Literature	14.50	Britain	Britain	English	0
Du Caurroy, Eustache	1589	Music	1.06	France	France	French	0
Du Mont, Henri	1650	Music	1.10	Belgium	France	Flemish	0
Dubuffet, Jean	1941	Art	8.30	France	France	French	0
Ducasse, Isidore (Lautreamont)	1870	Literature	5.53	France	France	French	0
Duccio di Buoninsegna	1297	Art	20.98	Italy	Italy	Italian	0
Duccio, Agostino di	1458	Art	2.90	Italy	Italy	Italian	0
Duchamp-Villon, Raymond	1916	Art	5.02	France	France	French	0
Duchamp, Marcel	1927	Art	27.51	France	France	French	0
Ducis, Benedictus	1530	Music	1.01	Germany	Belgium	Flemish	0
Dufay, Guillaume	1440	Music	13.27	France	Netherlands	Dutch	0
Dufy, Raoul	1917	Art	2.66	France	France	French	0
Duhamel, Georges	1924	Literature	4.71	France	France	French	0
Dukas, Paul	1905	Music	3.96	France	France	Jewish	0
Dumas, Alexandre (fils)	1864	Literature	6.75	France	France	French	0
Dumas, Alexandre (père)	1842	Literature	11.77	France	France	French	0
Duni, Egidio 	1749	Music	1.03	Italy	France	Italian	0
Dunstable, John	1430	Music	7.21	Britain	Britain	English	0
Duparc, Henri	1888	Music	2.95	France	France	French	0
Duquesnoy, Francois	1637	Art	2.74	Belgium	Belgium	Flemish	0
Durante, Francesco	1724	Music	1.80	Italy	Italy	Italian	0
Dürer, Albrecht	1511	Art	56.42	Germany	Germany	Germanic	0
Durey, Louis	1928	Music	1.29	France	France	French	0
Dussek, Jan	1800	Music	2.14	Czech	Czech	Czech	0
Dvorák, Antonin	1881	Music	13.11	Czech	Czech	Czech	0
Dyck, Anthony van	1639	Art	21.83	Belgium	Netherlands	Dutch	0
Eberlin, Johann	1805	Music	1.00	Germany	Austria	Germanic	0
Eça de Queiros, Jose	1885	Literature	7.09	Portugal	Portugal	Portuguese	0
Eccard, Johannes	1593	Music	1.19	Germany	Germany	Germanic	0
Echegaray y Eizaguirre, Jose	1873	Literature	3.16	Spain	Spain	Basque	0
Eckhart, Johannes	1300	Literature	2.99	Germany	Germany	Germanic	0
Ehrenberg, Ilya	1931	Literature	5.00	Russia	Russia	Jewish	0
Eich, Günter	1947	Literature	1.39	Germany	Germany	Germanic	0
Eichendorff, Joseph von	1828	Literature	6.47	Germany	Germany	Germanic	0
Elgar, Edward	1897	Music	7.59	Britain	Britain	English	0
Eliot, George	1859	Literature	9.48	Britain	Britain	English	1
Éluard, Paul (Grindel)	1935	Literature	6.89	France	France	French	0
Eminescu, Mikhail	1889	Literature	3.79	Balkans	Balkans	Romanian	0
Empedocles	-452	Philosophy	5.75	Ancient Greece	Ancient Greece	Ancient Greek	0
Enescu, George	1921	Music	2.19	Balkans	France	Romanian	0
Engles, Friedrich	1860	Philosophy	8.91	Germany	Britain	Germanic	0
Ennius, Quintus 	-199	Literature	5.69	Rome	Rome	Ancient Roman	0
Ensor, James	1900	Art	7.48	Belgium	Belgium	Flemish	0
Epictetus	90	Philosophy	5.25	Ancient Greece	Ancient Greece	Ancient Greek	0
Epicurus of Samos	-301	Philosophy	10.48	Ancient Greece	Ancient Greece	Ancient Greek	0
Erasmus	1506	Literature	19.26	Netherlands	Netherlands	Dutch	0
Erigena, Johannes	850	Philosophy	6.78	Britain	Britain	Irish	0
Erlebach, Philipp	1697	Music	1.38	Germany	Germany	Germanic	0
Ernst, Max	1931	Art	17.08	Germany	Germany	Germanic	0
Espronceda, Jose de 	1842	Literature	3.91	Portugal	Spain	Portuguese	0
Etherege, George	1675	Literature	2.00	Britain	Britain	English	0
Euripides	-444	Literature	34.79	Ancient Greece	Ancient Greece	Ancient Greek	0
Ewald, Johannes	1781	Literature	2.09	Denmark	Denmark	Danish	0
Eyck, Hubert van	1406	Art	10.45	Belgium	Belgium	Flemish	0
Eyck, Jan van	1430	Art	41.94	Belgium	Belgium	Flemish	0
Fabritius, Carel	1654	Art	2.14	Netherlands	Netherlands	Dutch	0
Falconer, Etienne (Falconet)	1756	Art	1.87	France	France	French	0
Falla, Manuel de	1916	Music	8.74	Spain	Spain	Spanish	0
Fallada, Hans (Ditzen)	1933	Literature	1.36	Germany	Germany	Germanic	0
Fantin-Latour, Henri	1876	Art	2.23	France	France	French	0
Farnaby, Giles	1603	Music	1.41	Britain	Britain	English	0
Farquhar, George	1707	Literature	1.29	Britain	Britain	Irish	0
Fattori, Giovanni	1865	Art	2.33	Italy	Italy	Italian	0
Fauré, Gabriel	1885	Music	13.31	France	France	French	0
Fayrfax, Robert	1504	Music	1.26	Britain	Britain	English	0
Fedin, Konstantine	1932	Literature	3.77	Russia	Russia	Slavic	0
Fenelon, Francois	1691	Literature	8.30	France	France	French	0
Ferrabosco, Alfonso the Elder	1583	Music	1.10	Italy	Britain	Italian	0
Ferrabosco, Alfonso the Younger	1618	Music	1.21	Britain	Britain	Italian	0
Ferrari, Benedetto	1637	Music	1.00	Italy	Italy	Italian	0
Ferreira, Antonio	1568	Literature	1.32	Portugal	Portugal	Portuguese	0
Festa, Costanzo	1530	Music	2.38	Italy	Italy	Italian	0
Fet, Afanasy	1860	Literature	2.71	Russia	Russia	Slavic	0
Fetti, Domenico	1624	Art	1.77	Italy	Italy	Italian	0
Feuerbach, Ludwig 	1844	Philosophy	4.19	Germany	Germany	Germanic	0
Févin, Antoine de	1510	Music	1.79	France	France	Dutch	0
Fibich, Zdenek	1890	Music	2.24	Czech	Czech	Czech	0
Fichte, Johann	1802	Philosophy	16.98	Germany	Germany	Germanic	0
Field, John	1822	Music	2.68	Britain	Britain	Irish	0
Fielding, Henry	1747	Literature	14.00	Britain	Britain	English	0
Filarete (Antonio Averlino)	1440	Art	2.72	Italy	Italy	Italian	0
Fils, Anton	1760	Music	1.08	Germany	Germany	Germanic	0
Finck, Heinrich	1484	Music	1.52	Germany	Poland	Germanic	0
Fischart, Johann	1585	Literature	1.73	Germany	Germany	Germanic	0
Fischer, Johann	1705	Music	2.70	Germany	Germany	Germanic	0
Fitzgerald, Edward	1849	Literature	1.59	Britain	Britain	English	0
Flaubert, Gustave	1861	Literature	22.88	France	France	French	0
Flaxman, John	1795	Art	3.81	Britain	Britain	English	0
Fleming, Paul	1640	Literature	2.05	Germany	Germany	Germanic	0
Fletcher, John	1619	Literature	3.57	Britain	Britain	English	0
Flotow, Friedrich von	1852	Music	2.01	Germany	France	Germanic	0
Fogazzaro, Antonio	1882	Literature	6.40	Italy	Italy	Italian	0
Fontane, Theodor	1859	Literature	7.80	Germany	Germany	Germanic	0
Fontenelle, Bernard de	1697	Literature	5.40	France	France	French	0
Fonvizin, Denis	1785	Literature	3.09	Russia	Russia	Slavic	0
Foppa, Vincenco	1467	Art	4.13	Italy	Italy	Italian	0
Ford, Ford Madox	1913	Literature	1.09	Britain	Britain	English	0
Ford, John	1626	Literature	1.58	Britain	Britain	English	0
Forster, Edward	1919	Literature	4.80	Britain	Britain	English	0
Forster, Georg	1550	Music	1.00	Germany	Germany	Germanic	0
Fortner, Wolfgang	1947	Music	1.71	Germany	Germany	Germanic	0
Foscolo, Ugo	1818	Literature	8.86	Balkans	Italy	Greek	0
Fouque, Friedrich	1817	Literature	2.82	Germany	Germany	Germanic	0
Fouquet, Jean	1465	Art	12.71	France	France	French	0
Fragonard, Jean	1772	Art	13.98	France	France	French	0
France, Anatole	1884	Literature	11.84	France	France	French	0
Francesco da Milano	1537	Music	1.68	Italy	Italy	Italian	0
Francia, Francesco	1490	Art	1.80	Italy	Italy	Italian	0
Francis of Assisi, St.	1222	Literature	8.56	Italy	Italy	Italian	0
Franck, César	1862	Music	15.24	Belgium	France	Flemish	0
Franck, Johann 	1679	Music	1.40	Germany	Germany	Germanic	0
Franck, Melchior	1619	Music	1.00	Germany	Germany	Germanic	0
Franz, Robert	1855	Music	1.37	Germany	Germany	Germanic	0
Frederick II of Prussia	1752	Music	3.05	Germany	Germany	Germanic	0
Freytag, Gustav	1856	Literature	3.10	Germany	Germany	Germanic	0
Friedrich, Caspar	1814	Art	15.91	Germany	Germany	Germanic	0
Fröding, Gustav	1900	Literature	5.81	Sweden	Sweden	Swedish	0
Froissart, Jean	1377	Literature	4.72	France	France	French	0
Fromentin, Eugene	1860	Literature	1.35	France	France	French	0
Fry, Christopher	1947	Literature	2.76	Britain	Britain	English	0
Fuseli, Henry	1781	Art	9.17	Switzerland	Britain	Germanic	0
Fux, Johann Joseph	1700	Music	5.59	Austria	Austria	Germanic	0
Gabo, Naum	1930	Art	4.82	Russia	Russia	Slavic	0
Gabrieli, Giovanni	1593	Music	10.75	Italy	Italy	Italian	0
Gaddi, Agnolo	1390	Art	1.29	Italy	Italy	Italian	0
Gaddi, Taddeo	1340	Art	4.21	Italy	Italy	Italian	0
Gade, Niels 	1857	Music	2.62	Denmark	Denmark	Danish	0
Gaffurius, Franchinus	1491	Music	1.40	Italy	Italy	Italian	0
Gagliano, Marco Da	1622	Music	1.72	Italy	Italy	Italian	0
Gainsborough, Thomas	1767	Art	15.22	Britain	Britain	English	0
Gallus, Joannes	1550	Music	1.00	Belgium	Belgium	Flemish	0
Galsworthy, John	1907	Literature	7.79	Britain	Britain	English	0
Galuppi, Baldassare	1746	Music	3.89	Italy	Italy	Italian	0
Garborg, Arne	1891	Literature	2.40	Norway	Norway	Norwegian	0
Garcia Lorca, Frederico	1936	Literature	13.62	Spain	Spain	Spanish	0
Garcilaso de la Vega	1536	Literature	6.41	Spain	Spain	Spanish	0
Garnier, Robert	1574	Literature	1.81	France	France	French	0
Garshin, Vsevolod	1888	Literature	2.01	Russia	Russia	Slavic	0
Gaskell, Elizabeth	1850	Literature	1.99	Britain	Britain	English	1
Gassendi, Pierre	1632	Philosophy	2.70	France	France	French	0
Gassmann, Florian	1769	Music	2.14	Czech	Austria	Czech	0
Gastoldi, Giovanni	1600	Music	1.43	Italy	Italy	Italian	0
Gauguin, Paul	1888	Art	38.32	France	France	French	0
Gaulli, Il (Giovanni Baciccia)	1679	Art	5.26	Italy	Italy	Italian	0
Gautier, Theophile	1851	Literature	11.66	France	France	French	0
Gaveaux, Pierre	1800	Music	1.25	France	France	French	0
Gay, John	1725	Literature	2.33	Britain	Britain	English	0
Geertgen tot Sint Jans	1485	Art	2.76	Netherlands	Netherlands	Dutch	0
Geijer, Erik 	1823	Literature	3.84	Sweden	Sweden	Swedish	0
Gellert, Christian	1755	Literature	2.99	Germany	Germany	Germanic	0
Genet, Jean	1949	Literature	7.43	France	France	French	0
Gentile da Fabriano	1410	Art	10.72	Italy	Italy	Italian	0
Gentileschi, Artemisia	1637	Art	3.65	Italy	Britain	Italian	1
Gentileschi, Orazio	1603	Art	1.89	Italy	Italy	Italian	0
Geoffrey of Monmouth	1140	Literature	4.18	Britain	Britain	English	0
George, Stefan	1908	Literature	11.26	Germany	Germany	Germanic	0
Gerhard, Roberto	1936	Music	1.32	Spain	Spain	Swiss	0
Géricault, Theodore	1824	Art	19.51	France	France	French	0
Gérôme, Jean	1864	Art	3.92	France	France	French	0
Gessner, Salomon	1770	Literature	4.06	Switzerland	Switzerland	Germanic	0
Gesualdo of Venosa, Carlo	1600	Music	5.28	Italy	Italy	Italian	0
Geulincx, Arnold	1665	Philosophy	1.30	Belgium	Belgium	Flemish	0
Gezelle, Guido	1870	Literature	3.19	Belgium	Belgium	Flemish	0
Ghelderode, Michel de	1938	Literature	2.79	Belgium	Belgium	Flemish	0
Gherardello da Firenze	1360	Music	1.00	Italy	Italy	Italian	0
Ghiberti, Lorenzo	1418	Art	24.02	Italy	Italy	Italian	0
Ghirlandaio, Domenico	1489	Art	19.03	Italy	Italy	Italian	0
Ghiselin, Johannes	1510	Music	1.00	Belgium	Belgium	Dutch	0
Giacometti, Alberto	1941	Art	9.01	Switzerland	Switzerland	Italian	0
Gibbon, Edward	1777	Literature	3.09	Britain	Britain	English	0
Gibbons, Orlando	1623	Music	4.16	Britain	Britain	English	0
Gide, André	1909	Literature	24.64	France	France	French	0
Giono, Jean	1935	Literature	5.06	France	France	French	0
Giordano, Luca	1672	Art	3.27	Italy	Italy	Italian	0
Giorgione da Castelfranco	1510	Art	26.24	Italy	Italy	Italian	0
Giotto di Bondone	1306	Art	53.69	Italy	Italy	Italian	0
Giovanni da Bologna	1564	Art	14.97	Belgium	Italy	Flemish	0
Giovanni da Cascia	1340	Music	1.95	Italy	Italy	Italian	0
Giraldi, Giambattista	1544	Literature	4.37	Italy	Italy	Italian	0
Girardon, Francois	1668	Art	3.98	France	France	French	0
Giraudoux, Jean	1922	Literature	8.24	France	France	French	0
Girodet-Trioson (de Roucy)	1807	Art	4.73	France	France	French	0
Girtin, Thomas	1802	Art	1.88	Britain	Britain	English	0
Giulio Romano	1539	Art	16.36	Italy	Italy	Italian	0
Glazunov, Alexander	1905	Music	3.51	Russia	Russia	Slavic	0
Gleim, Johann	1759	Literature	1.51	Germany	Germany	Germanic	0
Glier, Reinhold	1915	Music	1.06	Russia	Russia	Jewish	0
Glinka, Mikhail	1844	Music	7.96	Russia	Russia	Slavic	0
Gluck, Christoph	1754	Music	26.17	Czech	Austria	Czech	0
Goes, Hugo van der	1477	Art	13.40	Belgium	Belgium	Flemish	0
Goethe, Johann	1789	Literature	81.06	Germany	Germany	Germanic	0
Gogh, Vincent van	1890	Art	39.76	Netherlands	Netherlands	Dutch	0
Gogol, Nikolay	1849	Literature	26.03	Russia	Russia	Slavic	0
Goldoni, Carlo	1747	Literature	11.41	Italy	Italy	Italian	0
Goldsmith, Oliver	1768	Literature	12.22	Britain	Britain	Irish	0
Goltzius, Hendrick	1598	Art	1.67	Germany	Netherlands	Germanic	0
Gombert, Nicolas	1545	Music	4.16	Belgium	Belgium	Flemish	0
Gombrowicz, Witold	1944	Literature	1.99	Poland	Poland	Polish	0
Goncharov, Ivan	1852	Literature	7.95	Russia	Russia	Slavic	0
Goncharova, Natalia	1921	Art	4.72	Russia	Russia	Slavic	1
Goncourt Brothers	1862	Literature	9.19	France	France	French	0
Gondi, Paul (Retz)	1654	Literature	1.97	France	France	French	0
Gongora y Argote, Luis de	1601	Literature	13.11	Spain	Spain	Spanish	0
Gonzalez, Julio	1916	Art	3.33	Spain	France	Spanish	0
Gorgias	-445	Philosophy	1.65	Ancient Greece	Ancient Greece	Ancient Greek	0
Gorky, Maxim	1908	Literature	18.82	Russia	Russia	Slavic	0
Görres, Johann 	1816	Literature	3.32	Germany	Germany	Germanic	0
Gossaert, Jan (Mabuse)	1518	Art	7.50	Belgium	Belgium	Flemish	0
Gossec, François	1774	Music	4.14	France	France	Flemish	0
Gottfried von Strassburg	1200	Literature	4.31	Germany	Germany	Germanic	0
Goudimel, Claude	1550	Music	3.47	France	France	French	0
Goujon, Jean	1550	Art	6.48	France	France	French	0
Gounod, Charles	1858	Music	13.01	France	France	French	0
Goya,Francisco	1786	Art	40.96	Spain	Spain	Spanish	0
Goyen, Jan van	1636	Art	3.60	Netherlands	Netherlands	Dutch	0
Gozzi, Carlo	1760	Literature	7.30	Italy	Italy	Italian	0
Grabbe, Christian 	1836	Literature	3.64	Germany	Germany	Germanic	0
Gracian y Morales, Baltazar	1641	Literature	3.59	Spain	Spain	Spanish	0
Granados, Enrique	1907	Music	2.68	Spain	Spain	Spanish	0
Grandi, Alessandro	1615	Music	1.29	Italy	Italy	Italian	0
Graun, Carl	1743	Music	3.14	Germany	Germany	Germanic	0
Graupner, Christoph	1723	Music	1.41	Germany	Germany	Germanic	0
Gray, Thomas	1756	Literature	7.86	Britain	Britain	English	0
Greco, El (Theotokopoulos)	1581	Art	23.84	Balkans	Spain	Spanish	0
Green, Julian	1940	Literature	5.14	France	France	French	0
Greene, Graham	1944	Literature	5.41	Britain	Britain	English	0
Greene, Robert	1592	Literature	3.64	Britain	Britain	English	0
Gregory of Nyssa	371	Philosophy	1.00	Ancient Greece	Ancient Greece	Ancient Greek	0
Grenon, Nicolas	1420	Music	1.53	France	France	French	0
Grétry, André	1781	Music	6.08	Belgium	France	Flemish	0
Greuze, Jean-Baptiste	1765	Art	6.55	France	France	French	0
Griboyedov, Alexander	1829	Literature	4.82	Russia	Russia	Slavic	0
Grieg, Edvard	1883	Music	11.30	Norway	Norway	Norwegian	0
Grieg, Nordahl 	1942	Literature	1.87	Norway	Norway	Norwegian	0
Grillparzer, Franz	1831	Literature	7.24	Austria	Austria	Germanic	0
Grimm, Brothers	1825	Literature	6.25	Germany	Germany	Germanic	0
Grimmelshausen, Johann von	1662	Literature	5.19	Germany	Germany	Germanic	0
Gris, Juan (Gonzalez)	1927	Art	6.48	Spain	France	Spanish	0
Gros, Antoine Jean	1811	Art	6.92	France	France	French	0
Grosseteste, Robert	1208	Philosophy	2.07	Britain	Britain	English	0
Grosz, George	1933	Art	7.13	Germany	Germany	Germanic	0
Grundtvig, Nikolai	1823	Literature	2.32	Denmark	Denmark	Danish	0
Grünewald, Mathias	1500	Art	26.50	Germany	Germany	Germanic	0
Gryphius, Andreas	1656	Literature	5.84	Germany	Germany	Germanic	0
Guardi, Francesco	1752	Art	7.94	Italy	Italy	Italian	0
Guarini, Giovanni 	1578	Literature	6.00	Italy	Italy	Italian	0
Guercino (Barbieri)	1631	Art	8.55	Italy	Italy	Italian	0
Guerrero, Francisco	1567	Music	1.37	Spain	Spain	Spanish	0
Guicciardini, Francesco	1523	Literature	2.84	Italy	Italy	Italian	0
Guilhelm IX, Duke of Aquitaine	1111	Literature	1.48	France	France	French	0
Guinizelli, Guido	1270	Literature	2.26	Italy	Italy	Italian	0
Gundulic, Ivan	1629	Literature	2.21	Balkans	Balkans	Slavic	0
Gutzkow, Karl	1851	Literature	2.58	Germany	Germany	Jewish	0
Hába, Alois	1933	Music	2.01	Czech	Czech	Czech	0
Hagedorn, Friedrich von	1748	Literature	1.41	Germany	Germany	Germanic	0
Halévy, Fromental	1839	Music	4.38	France	France	Jewish	0
Halevy, Ludovic	1874	Literature	2.05	France	France	Jewish	0
Haller, Albrecht von	1747	Literature	2.64	Switzerland	Switzerland	Germanic	0
Hals, Frans	1621	Art	20.69	Netherlands	Netherlands	Dutch	0
Hammerschmidt, Andreas	1651	Music	1.66	Czech	Germany	Czech	0
Hamsun, Knut	1899	Literature	10.22	Norway	Norway	Norwegian	0
Handel, George	1725	Music	45.83	Germany	Germany	Germanic	0
Hardy, Thomas	1880	Literature	13.25	Britain	Britain	English	0
Hartmann von Aue	1210	Literature	3.24	Germany	Germany	Germanic	0
Hartmann, Karl 	1945	Music	1.24	Germany	Germany	Germanic	0
Hasek, Jaroslav	1923	Literature	2.58	Czech	Czech	Czech	0
Hasenclever, Walter	1930	Literature	1.08	Germany	Germany	Germanic	0
Hasse, Johann 	1739	Music	7.55	Germany	Italy	Germanic	0
Hassler, Hans	1604	Music	4.42	Germany	Germany	Germanic	0
Hauer, Josef	1923	Music	1.02	Austria	Austria	Germanic	0
Hauff, Wilhelm	1827	Literature	1.10	Germany	Germany	Germanic	0
Hauptmann, Gerhart	1902	Literature	12.83	Germany	Germany	Germanic	0
Haydn, Franz	1772	Music	56.33	Austria	Austria	Germanic	0
Haydn, Michael	1777	Music	4.33	Austria	Austria	Germanic	0
Hazlitt, William	1818	Literature	4.25	Britain	Britain	English	0
Hebbel, Friedrich	1853	Literature	7.42	Germany	Germany	Germanic	0
Hebel, Johann 	1800	Literature	0.60	Switzerland	Germany	Germanic	0
Hegel, Georg	1810	Philosophy	46.28	Germany	Germany	Germanic	0
Heiberg, Gunnar	1897	Literature	1.89	Norway	Norway	Norwegian	0
Heidegger, Martin	1929	Philosophy	11.98	Germany	Germany	Germanic	0
Heidenstam,Carl von 	1899	Literature	4.95	Sweden	Sweden	Swedish	0
Heine, Heinrich	1837	Literature	22.20	Germany	Germany	Jewish	0
Heinse, Johann	1786	Literature	1.89	Germany	Germany	Germanic	0
Heliodorus	390	Literature	4.02	Ancient Greece	Ancient Greece	Ancient Greek	0
Helvetius, Claude 	1755	Philosophy	2.43	France	France	French	0
Henry VIII of England	1531	Music	2.21	Britain	Britain	English	0
Hepworth, Barbara	1943	Art	2.85	Britain	Britain	English	1
Heraclitus of Ephesus	-500	Philosophy	10.94	Ancient Greece	Ancient Greece	Ancient Greek	0
Herbert, George	1633	Literature	5.10	Britain	Britain	English	0
Herder, Johann	1784	Philosophy	3.83	Germany	Germany	Jewish	0
Herodotus	-445	Literature	14.74	Ancient Greece	Ancient Greece	Ancient Greek	0
Hérold, Louis	1831	Music	2.08	France	France	French	0
Herrera, Fernando de	1574	Literature	3.97	Spain	Spain	Spanish	0
Herzen, Aleksandr	1852	Literature	5.46	Russia	Russia	Slavic	0
Hesiod	-700	Literature	11.15	Ancient Greece	Ancient Greece	Ancient Greek	0
Hesse, Hermann	1917	Literature	10.67	Germany	Switzerland	Germanic	0
Heym, Georg	1912	Literature	2.56	Germany	Germany	Germanic	0
Heyse, Paul	1870	Literature	1.94	Germany	Germany	Jewish	0
Heywood, Thomas	1614	Literature	2.05	Britain	Britain	English	0
Hiller, Johann	1768	Music	3.68	Germany	Germany	Germanic	0
Hilliard, Nicholas	1587	Art	5.50	Britain	Britain	English	0
Hindemith, Paul	1935	Music	19.07	Germany	Germany	Germanic	0
Hobbema, Meindert	1678	Art	3.37	Netherlands	Netherlands	Dutch	0
Hobbes, Thomas	1628	Philosophy	18.78	Britain	Britain	English	0
Hodler, Ferdinand	1893	Art	5.48	Switzerland	Switzerland	Germanic	0
Hoffmann, E. T. A.	1816	Literature	12.48	Germany	Germany	Germanic	0
Hofhaimer, Paul	1499	Music	2.70	Austria	Austria	Germanic	0
Hofmann von Hofmannswaldau, Christian	1657	Literature	1.66	Germany	Germany	Germanic	0
Hofmannsthal, Hugo von	1914	Literature	14.06	Austria	Austria	Jewish	0
Hogarth, William	1737	Art	18.59	Britain	Britain	English	0
Holbach, Paul	1763	Philosophy	2.98	Germany	France	Germanic	0
Holbein, Hans the Younger	1537	Art	21.80	Germany	Germany	Germanic	0
Holberg, Ludvig Baron	1724	Literature	9.90	Denmark	Denmark	Danish	0
Hölderlin,  Johann	1810	Literature	19.77	Germany	Germany	Germanic	0
Holst, Gustav	1914	Music	4.66	Britain	Britain	English	0
Hölty, Ludwig C.H.	1776	Literature	1.72	Germany	Germany	Germanic	0
Holzbauer, Ignaz	1751	Music	1.73	Austria	Germany	Germanic	0
Homer	-700	Literature	53.59	Ancient Greece	Ancient Greece	Ancient Greek	0
Honegger, Arthur	1932	Music	8.99	France	Switzerland	French	0
Honthorst, Gerrit van	1630	Art	4.02	Netherlands	Netherlands	Dutch	0
Hooch, Pieter de	1669	Art	4.49	Netherlands	Netherlands	Dutch	0
Hooft, Pieter	1621	Literature	3.59	Netherlands	Netherlands	Dutch	0
Hopkins, Gerard	1884	Literature	5.84	Britain	Britain	English	0
Horace	-25	Literature	34.94	Rome	Rome	Ancient Roman	0
Hothby, John	1450	Music	1.00	Britain	Italy	English	0
Houdon, Jean	1781	Art	10.40	France	France	French	0
Howard, Henry	1547	Literature	3.59	Britain	Britain	English	0
Hrostwitha of Gandersheim	970	Literature	2.44	Germany	Germany	Germanic	1
Hugo, Victor	1842	Literature	38.49	France	France	French	0
Hume, David	1751	Philosophy	35.94	Britain	Britain	Scots	0
Humfrey, Pelham	1674	Music	1.50	Britain	Britain	English	0
Hummel, Johann	1818	Music	3.18	Austria	Germany	Germanic	0
Humperdinck, Engelbert	1894	Music	3.01	Germany	Germany	Germanic	0
Hunt, William 	1867	Art	6.23	Britain	Britain	English	0
Husserl, Edmund	1899	Philosophy	7.61	Czech	Germany	Jewish	0
Hutten, Ulrich von	1523	Literature	3.54	Germany	Germany	Germanic	0
Huxley, Aldous	1934	Literature	7.71	Britain	Britain	English	0
Huygens, Constantijn	1636	Literature	1.17	Netherlands	Netherlands	Dutch	0
Huysmans, Joris	1888	Literature	6.16	France	France	Dutch	0
Ibert, Jacques	1930	Music	2.05	France	France	French	0
Ibsen, Henrik	1868	Literature	31.97	Norway	Norway	Norwegian	0
Immerman, Karl L.	1836	Literature	1.89	Germany	Germany	Germanic	0
Indy, Vincent d’	1891	Music	9.24	France	France	French	0
Ingegneri, Marc 	1587	Music	1.45	Italy	Italy	Italian	0
Ingemann, Bernhard 	1829	Literature	2.32	Denmark	Denmark	Danish	0
Ingres, Jean 	1820	Art	27.93	France	France	French	0
Isaac, Heinrich 	1490	Music	8.36	Belgium	Italy	Flemish	0
Isherwood, Christopher	1944	Literature	1.39	Britain	Britain	English	0
Isouard, Nicolas	1815	Music	1.00	France	France	French	0
Jacapone da Todi	1270	Literature	2.80	Italy	Italy	Italian	0
