Name	Fl	Inventory	Index	BirthCountry	WorkCountry	Ethnicity	Woman
Bergson, Henri	1899	Philosophy	9.56	France	France	Jewish	0
Berkeley, George	1725	Philosophy	20.87	Britain	Britain	Irish	0
Berlinghieri, Berlinghiero	1240	Art	3.22	Italy	Italy	Italian	0
Berlioz, Hector	1843	Music	40.60	France	France	French	0
Bernanos, Georges	1928	Literature	8.69	France	France	French	0
Bernard of Clairvaux	1131	Philosophy	1.14	France	France	French	0
Bernard, Emile	1908	Art	4.82	France	France	French	0
Bernart de Ventadorn	1180	Literature	4.18	France	France	French	0
Bernhard, Christoph	1668	Music	1.35	Germany	Germany	Germanic	0
Bernini, Gian Lorenzo	1638	Art	53.38	Italy	Italy	Italian	0
Berruguete, Alonso	1528	Art	1.82	Spain	Italy	Spanish	0
Berruguete, Pedro	1490	Art	2.29	Spain	Italy	Spanish	0
Bertoldo di Giovanni	1460	Art	2.15	Italy	Italy	Italian	0
Berton, Henri	1807	Music	1.41	France	France	French	0
Bertrand de Born	1180	Literature	3.13	France	France	French	0
Berwald, Franz Adolf	1836	Music	2.00	Sweden	Sweden	Swedish	0
Besard, Jean	1607	Music	1.00	France	Germany	French	0
Bibbiena (Dovizi)	1510	Literature	1.15	Italy	Italy	Italian	0
Biber, Heinrich von	1684	Music	2.13	Czech	Austria	Czech	0
Bilderdijk, Willem	1796	Literature	1.23	Netherlands	Netherlands	Dutch	0
Binchois, Gilles	1440	Music	6.40	Belgium	Netherlands	Dutch	0
Bitzius, Albert	1837	Literature	6.85	Switzerland	Switzerland	Germanic	0
Bizet, Georges	1875	Music	10.32	France	France	French	0
Bjørnson, Bjørnstjerne 	1872	Literature	12.98	Norway	Norway	Norwegian	0
Blacher, Boris	1943	Music	2.29	Germany	Germany	Germanic	0
Blake, William	1797	Art	11.68	Britain	Britain	English	0
Blicher, Steen	1822	Literature	1.44	Denmark	Denmark	Danish	0
Bliss, Arthur (Drummond)	1931	Music	1.97	Britain	Britain	English	0
Blok, Aleksandr	1920	Literature	11.31	Russia	Russia	Slavic	0
Blow, John	1689	Music	3.92	Britain	Britain	English	0
Boccaccio, Giovanni	1353	Literature	35.42	Italy	Italy	Italian	0
Boccherini, Luigi	1783	Music	4.20	Italy	Italy	Italian	0
Boccioni, Umberto	1916	Art	13.46	Italy	Italy	Italian	0
Böcklin, Arnold	1867	Art	3.95	Switzerland	Switzerland	Germanic	0
Boehme, Jacob	1615	Philosophy	1.99	Germany	Germany	Germanic	0
Boësset, Antoine de	1626	Music	1.19	France	France	French	0
Boethius, Anicius	520	Philosophy	4.82	Rome	Rome	Ancient Roman	0
Böhm, Georg	1701	Music	1.73	Germany	Germany	Germanic	0
Böhme, Jakob	1615	Literature	5.62	Germany	Germany	Germanic	0
Boiardo, Matteo 	1481	Literature	5.75	Italy	Italy	Italian	0
Boieldieu, Adrien	1815	Music	4.92	France	France	French	0
Boileau-Despreaux, Nicolas	1676	Literature	18.79	France	France	French	0
Boito, Arrigo	1882	Music	3.20	Italy	France	Italian	0
Bonaventura, St.	1261	Philosophy	7.59	Italy	Italy	Italian	0
Bonheur, Rosa	1862	Art	1.35	France	France	French	1
Bonnard, Pierre	1907	Art	7.01	France	France	French	0
Bononcini, Giovanni 	1710	Music	2.88	Italy	Italy	Italian	0
Borodin, Alexander	1873	Music	8.18	Russia	Russia	Slavic	0
Bortniansky, Dmitry 	1791	Music	1.00	Russia	Russia	Slavic	0
